DATE;TIME;LOAD
23/1/2017;18;7759.88
23/1/2017;19;8149.58
23/1/2017;20;8241.44
23/1/2017;21;8088.68
23/1/2017;22;7651.95
23/1/2017;23;6954.29
23/1/2017;24;6494
24/1/2017;1;6003.95
24/1/2017;2;5465.9
24/1/2017;3;5414.08
24/1/2017;4;5218.08
24/1/2017;5;5121.67
24/1/2017;6;5192.57
24/1/2017;7;5665.85
24/1/2017;8;6579.59
24/1/2017;9;7122.93
24/1/2017;10;7560.63
24/1/2017;11;7707.57
24/1/2017;12;7812.52
24/1/2017;13;7894.52
24/1/2017;14;7843.36
24/1/2017;15;7506.6
24/1/2017;16;7682
24/1/2017;17;7785.83
24/1/2017;18;7869.94
24/1/2017;19;8301.21
24/1/2017;20;8353.13
24/1/2017;21;8269.6
24/1/2017;22;7745.94
24/1/2017;23;7070.45
24/1/2017;24;6579.1
25/1/2017;1;5926.16
25/1/2017;2;5371.67
25/1/2017;3;5339.71
25/1/2017;4;5172.89
25/1/2017;5;5073.13
25/1/2017;6;5170.42
25/1/2017;7;5686.48
25/1/2017;8;6599.06
25/1/2017;9;7273.57
25/1/2017;10;7876.31
25/1/2017;11;8198.47
25/1/2017;12;8339.22
25/1/2017;13;8428.13
25/1/2017;14;8391.55
25/1/2017;15;8171.99
25/1/2017;16;8135.44
25/1/2017;17;7945.2
25/1/2017;18;7824.31
25/1/2017;19;8303.56
25/1/2017;20;8402.71
25/1/2017;21;8247.21
25/1/2017;22;7760.36
25/1/2017;23;7072.83
25/1/2017;24;6570.98
26/1/2017;1;5933.66
26/1/2017;2;5464.86
26/1/2017;3;5406.36
26/1/2017;4;5227.53
26/1/2017;5;5169.23
26/1/2017;6;5237.57
26/1/2017;7;5791.36
26/1/2017;8;6789.13
26/1/2017;9;7494.14
26/1/2017;10;8217.42
26/1/2017;11;8556.08
26/1/2017;12;8720.41
26/1/2017;13;8838.2
26/1/2017;14;8811.67
26/1/2017;15;8520.43
26/1/2017;16;8522.87
26/1/2017;17;8301.42
26/1/2017;18;8233.34
26/1/2017;19;8647.77
26/1/2017;20;8697.12
26/1/2017;21;8535.77
26/1/2017;22;8014.63
26/1/2017;23;7297.95
26/1/2017;24;6779.57
27/1/2017;1;6169.39
27/1/2017;2;5626.88
27/1/2017;3;5558.47
27/1/2017;4;5361.58
27/1/2017;5;5290.25
27/1/2017;6;5398.93
27/1/2017;7;5835.92
27/1/2017;8;6662.88
27/1/2017;9;7280.66
27/1/2017;10;8061.53
27/1/2017;11;8350.61
27/1/2017;12;8409.33
27/1/2017;13;8402.9
27/1/2017;14;8263.43
27/1/2017;15;7914.91
27/1/2017;16;7928.75
27/1/2017;17;7913.55
27/1/2017;18;8040.83
27/1/2017;19;8597.9
27/1/2017;20;8684.7
27/1/2017;21;8460.4
27/1/2017;22;7898.63
27/1/2017;23;7272.64
27/1/2017;24;6807.6
28/1/2017;1;6147.75
28/1/2017;2;5587.91
28/1/2017;3;5523.83
28/1/2017;4;5306.93
28/1/2017;5;5187.78
28/1/2017;6;5182.87
28/1/2017;7;5460.88
28/1/2017;8;5967.98
28/1/2017;9;6699.74
28/1/2017;10;7311.58
28/1/2017;11;7568.9
28/1/2017;12;7596.21
28/1/2017;13;7542.91
28/1/2017;14;7524.96
28/1/2017;15;7160.55
28/1/2017;16;7157.36
28/1/2017;17;7167.11
28/1/2017;18;7371.29
28/1/2017;19;8062.09
28/1/2017;20;8120.91
28/1/2017;21;8015.67
28/1/2017;22;7509.62
28/1/2017;23;6896.94
28/1/2017;24;6457.57
29/1/2017;1;6055.47
29/1/2017;2;5497.01
29/1/2017;3;5482.8
29/1/2017;4;5247.43
29/1/2017;5;5065.96
29/1/2017;6;5029.33
29/1/2017;7;5220.01
29/1/2017;8;5443.94
29/1/2017;9;5881.4
29/1/2017;10;6533.41
29/1/2017;11;7097.79
29/1/2017;12;7537.9
29/1/2017;13;7703.66
29/1/2017;14;7544.82
29/1/2017;15;6964.91
29/1/2017;16;6984.12
29/1/2017;17;6953.91
29/1/2017;18;6937.79
29/1/2017;19;7565.65
29/1/2017;20;7793.97
29/1/2017;21;7761.25
29/1/2017;22;7470.4
29/1/2017;23;6950.68
29/1/2017;24;6550.2
30/1/2017;1;5833.32
30/1/2017;2;5300.58
